NT\TT,RETURN,SEMICOLON,CLASS,EQUALS,LEFT_PARENTHESIS,RIGHT_PARENTHESIS,PLUS,MINUS,STAR,SLASH,PERCENT,PLUS_EQUALS,MINUS_EQUALS,STAR_EQUALS,SLASH_EQUALS,PERCENT_EQUALS,IDENTIFIER,DECIMAL,HEXADECIMAL,RIGHT_BRACE
PROGRAM,-,-,ParsingTableProduction[symbols=[CLASS  MAIN  LEFT_PARENTHESIS  RIGHT_PARENTHESIS  LEFT_BRACE  STMTS  RIGHT_BRACE]],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
STMTS,ParsingTableProduction[symbols=[STMT  STMTS]],-,ParsingTableProduction[symbols=[STMT  STMTS]],-,ParsingTableProduction[symbols=[STMT  STMTS]],-,-,-,-,-,-,-,-,-,-,-,ParsingTableProduction[symbols=[STMT  STMTS]],-,-,ParsingTableProduction[symbols=[EPSILON]]
STMT,ParsingTableProduction[symbols=[RETURN  ASSIGN  SEMICOLON]],-,ParsingTableProduction[symbols=[DECL  SEMICOLON]],-,ParsingTableProduction[symbols=[SIMP  SEMICOLON]],-,-,-,-,-,-,-,-,-,-,-,ParsingTableProduction[symbols=[SIMP  SEMICOLON]],-,-,-
DECL,-,-,ParsingTableProduction[symbols=[CLASS  IDENTIFIER  DECL2]],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SIMP,-,-,-,-,ParsingTableProduction[symbols=[LVALUE  ASNOP  ASSIGN]],-,-,-,-,-,-,-,-,-,-,-,ParsingTableProduction[symbols=[LVALUE  ASNOP  ASSIGN]],-,-,-
LVALUE,-,-,-,-,ParsingTableProduction[symbols=[LEFT_PARENTHESIS  LVALUE  RIGHT_PARENTHESIS]],-,-,-,-,-,-,-,-,-,-,-,ParsingTableProduction[symbols=[IDENTIFIER]],-,-,-
ASSIGN,-,-,-,-,ParsingTableProduction[symbols=[ADD  ASSIGN2]],-,-,ParsingTableProduction[symbols=[ADD  ASSIGN2]],-,-,-,-,-,-,-,-,ParsingTableProduction[symbols=[ADD  ASSIGN2]],ParsingTableProduction[symbols=[ADD  ASSIGN2]],ParsingTableProduction[symbols=[ADD  ASSIGN2]],-
ADD,-,-,-,-,ParsingTableProduction[symbols=[MUL  ADD2]],-,-,ParsingTableProduction[symbols=[MUL  ADD2]],-,-,-,-,-,-,-,-,ParsingTableProduction[symbols=[MUL  ADD2]],ParsingTableProduction[symbols=[MUL  ADD2]],ParsingTableProduction[symbols=[MUL  ADD2]],-
MUL,-,-,-,-,ParsingTableProduction[symbols=[UNARY  MUL2]],-,-,ParsingTableProduction[symbols=[UNARY  MUL2]],-,-,-,-,-,-,-,-,ParsingTableProduction[symbols=[UNARY  MUL2]],ParsingTableProduction[symbols=[UNARY  MUL2]],ParsingTableProduction[symbols=[UNARY  MUL2]],-
UNARY,-,-,-,-,ParsingTableProduction[symbols=[PRIMARY]],-,-,ParsingTableProduction[symbols=[MINUS  UNARY]],-,-,-,-,-,-,-,-,ParsingTableProduction[symbols=[PRIMARY]],ParsingTableProduction[symbols=[PRIMARY]],ParsingTableProduction[symbols=[PRIMARY]],-
